Product Name,Colors,Pic Urls,Care Infor
Limited-edition jacket with branded patches,Silver,"https://images.hugoboss.com/is/image/boss/hbeu50481749_040_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_343?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_361?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_310?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_342?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_301?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50481749_040_350?$large$=&fit=crop,1&align=1,1",Do Not Wash;Do Not Bleach;Do Not Tumble Dry;Do Not Iron;Do Not Dry Clean
Micro-patterned slim-fit suit in traceable virgin wool,Grey;Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50458886_030_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_600?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_342?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_343?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50458886_404_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50458886_030_300?$large$=&fit=crop,1&align=1,1",Do Not Wash;Do Not Bleach;Do Not Tumble Dry;Iron Medium Heat;Reduced Dry Clean
Three-piece extra-slim-fit suit with micro pattern,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457161_001_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_600?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_342?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_343?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50457161_001_300?$large$=&fit=crop,1&align=1,1",Do Not Wash;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;Remove trim before dry cleaning
Extra-slim-fit suit in a performance wool blend,Black,"https://images.hugoboss.com/is/image/boss/hbeu50459960_001_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_600?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_342?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_343?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50459960_001_300?$large$=&fit=crop,1&align=1,1",careinstructioncode.S30R;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;careinstructioncode.000493
Three-pack of stretch-cotton trunks with logo waistbands,Open Grey;Assorted-Pre-Pack;Open Blue;White;Black,"https://images.hugoboss.com/is/image/boss/hbeu50325403_061_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_342?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_343?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50325403_999_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50325403_487_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50325403_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50325403_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50325403_061_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05",Machine Wash Warm;Do Not Bleach;Tumble Dry Low Heat;Iron Medium Heat;Do Not Dry Clean;Use mild detergent only
Cotton-jersey slim-fit T-shirt with UPF 50 protection,White;Blue;Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50469290_143_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469290_143_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469290_143_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469290_143_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469290_439_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469290_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469290_143_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05",Machine Wash Warm;Do Not Bleach;Tumble Dry Low Heat;Iron Medium Heat;Reduced Dry Clean;Wash/ iron inside out with similar colors
Zip-up jacket in cotton with stripe and logo,Grey;Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50465781_033_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50465781_033_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50465781_403_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50465781_033_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05",Machine Wash Warm Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;Dry flat
Slim-fit shirt in checked organic cotton,White,"https://images.hugoboss.com/is/image/boss/hbeu50469694_100_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469694_100_350?$large$=&fit=crop,1&align=1,1",Machine Wash Warm Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Dry Clean Only;Hang to dry
Interlock-cotton polo shirt with press-stud placket,White;Black,"https://images.hugoboss.com/is/image/boss/hbeu50473838_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50473838_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50473838_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50473838_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000369
Slim-fit jeans in lightweight blue Italian denim,Blue,"https://images.hugoboss.com/is/image/boss/hbeu50467677_420_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467677_420_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Medium Heat;Do Not Dry Clean;careinstructioncode.000480
